,C_Catenin (Beta),C_Cyclin D1,C_Cytokeratin 18,C_Cytokeratin 7,C_DNA,C_E-cadherin,C_EGFR,C_HES1,C_LC3A/B,C_MET,C_NDG1 (p-T346),C_NFkB (p65),C_PDL1,C_S6,C_S6 (p-S235/S236),C_S6 (p-S240/244),C_STAT1 (alpha-isoform),C_STAT1 (p-S727),C_STAT3,C_Vimentin,C_c-Jun,C_ki67,C_p21 (Waf1/Cip1)
2_cell_C04_fld2_6,7.772304476,2.991733316,10.4916191,6.636242899,8.610670102,6.139028164,7.443142883,7.94151762,2.195423609,5.423345826,6.600737317,8.810081973,4.015084755,9.47149619,6.530895675,8.608042217,6.470636295,5.140428058,8.799297304,1.841615012,4.965423887,5.585751566,2.624374721
2_cell_C04_fld2_7,8.747863752,5.397348568,11.31730332,8.458511702,9.504099739,6.050855953,8.223749311,10.35271271,3.659736645,7.622543808,7.062995985,9.911401651,6.709559891,11.86476606,10.33739006,11.82410317,8.653994583,7.037504758,10.38587971,5.273734821,6.485695271,7.953254234,5.175893837
2_cell_C04_fld2_8,7.822165147,3.329767964,9.703592317,6.684048861,9.124725245,5.081987173,7.410705157,8.281386607,1.646272138,6.173847394,6.181056986,8.595484893,4.449096754,9.734186524,6.740486276,8.786934508,6.5212902,5.496259203,9.136827381,2.505968742,5.207898641,6.248392101,2.448158007
2_cell_C04_fld2_9,8.017327417,3.356298137,9.062479949,5.710189435,8.331992242,5.755449423,6.952588194,8.097527097,1.915434402,5.891750943,7.138569576,8.448801953,4.269642828,9.683725303,6.682297742,8.761035896,6.710970441,5.428136086,8.891260513,2.244108002,5.06983179,6.27154138,5.018498505
2_cell_C04_fld2_10,8.105293359,3.190413836,9.881348259,6.675996282,9.004986191,5.536112074,7.127332522,8.682322544,2.44274897,6.12905033,6.800954159,8.592508399,4.795324224,10.07315686,7.389616076,9.262602642,6.957286569,5.58336289,9.020276965,3.077042386,5.411784038,6.582482155,2.854476721
2_cell_D07_fld8_1,7.404905688,3.844271865,10.25207149,7.01686131,10.26858829,4.961920319,7.888106587,8.29359966,2.678066925,5.899527904,6.655073561,9.259881493,4.525883908,10.45009065,7.990838018,10.20791702,7.105301247,5.785310708,9.256427286,2.465429348,5.629726096,7.230391757,3.437655628
2_cell_D07_fld8_2,7.163471874,2.384304368,7.175482441,5.262342956,8.692997014,4.469853471,5.573592946,7.692219568,2.032126951,5.094334852,6.018429147,7.921512993,2.691930445,8.694654651,5.2791533,7.821586597,5.666036877,4.595391425,7.913367038,2.399239773,4.430588214,5.702851908,1.745629551
2_cell_D07_fld8_3,8.452379112,4.228905819,9.016606891,5.773226039,9.401340996,5.702622978,7.456371372,8.67087669,1.793004911,6.150274725,6.927725717,8.836331076,4.302179833,10.37575781,7.866705104,9.986081888,6.915863909,5.62258974,9.040051678,2.407957322,5.163943918,7.168399883,4.551579852
2_cell_D07_fld8_4,7.796800414,3.245627909,8.284732642,6.49515502,8.40904415,5.253330164,7.175717739,8.615325811,1.624791181,5.712105966,6.918698111,8.502797378,3.896243191,9.175480415,6.753941199,9.075984434,6.317352474,5.260874059,8.719947171,2.401259835,5.465287211,5.670575166,3.43285351
2_cell_D07_fld8_5,8.274529879,3.658087358,9.393220201,7.095560842,9.626427968,6.366491529,7.477768732,9.33311574,2.766308731,6.348301566,5.991386242,9.397307761,4.573373113,10.55773814,8.159862123,10.2740014,7.287428661,6.161364929,9.880856512,3.733721807,5.78603383,6.186294977,2.590269839
2_cell_D07_fld8_6,9.167215668,2.6804881,9.41468303,7.015535647,9.612971673,7.564498631,7.050928415,8.954766303,1.970822677,6.492328379,6.885089886,8.859249605,3.646365662,10.93261615,8.520439581,10.5155536,7.059887751,5.947838529,9.378580267,2.885125039,5.331038554,6.01777792,2.742743975
2_cell_D07_fld8_7,6.226109298,2.705432725,8.149318313,5.887211999,9.706656346,3.464777867,6.177967774,9.537510692,2.136054666,5.428687029,4.812384791,8.700611165,3.826927817,10.66087875,8.244469408,10.27740109,7.279501709,6.147055194,8.851146264,3.365343005,5.327387357,6.416512525,2.585385989
2_cell_D07_fld8_8,8.127941904,4.390004514,8.322299408,7.008819267,9.367021533,6.187125571,7.981597007,10.00567891,2.646044894,6.092411938,5.731810375,9.343675027,4.947341164,10.63764156,8.680301943,10.76443921,7.665404653,6.391164077,9.800478258,3.54909495,5.748451506,5.934866515,2.623738526
2_cell_D07_fld8_9,9.34428742,4.568499656,10.53233498,7.516904323,9.391511351,7.897710536,9.855405928,9.970279544,2.978970737,7.590938385,7.236633382,9.525062299,5.48650896,11.0763105,8.987667891,10.83256071,7.78641695,6.591775454,10.29766714,1.789787405,5.872971925,6.467165203,4.9435687
2_cell_D07_fld8_10,8.203471,4.26199752,10.40820891,5.97552887,9.404288868,6.232330381,7.603929326,9.576646895,3.060031585,6.322043941,3.527579395,8.870750775,4.69564423,10.95580002,8.549975934,10.42925353,7.549653957,6.384671521,9.558470741,1.330232445,5.925693595,7.792639731,3.590676762
3_cell_C10_fld3_1,8.487505586,4.379870766,8.547522591,7.263154272,8.15610635,6.941607675,8.333163271,9.062776927,2.261951569,6.40904794,5.126249541,8.302927475,4.165322519,10.32815209,7.748646202,9.821598479,7.93809297,5.40701845,9.366610008,1.205207015,5.355116829,6.213811347,3.686239614
3_cell_C10_fld3_2,8.495084875,3.547907373,9.111547942,5.897113072,8.103158231,5.930511409,8.664138553,8.700458004,1.836753482,6.79309705,4.211729236,8.552105471,4.596748124,10.47248989,7.649808799,9.738135346,7.621208361,5.527836033,9.18614401,2.169955825,8.22755181,6.696349084,3.310558003
3_cell_C10_fld3_3,7.796713069,5.093558433,8.144155617,5.932706222,8.687705073,4.140215396,8.324493156,9.07521341,1.697941843,6.157202215,7.352057891,8.41217099,5.302676181,10.45245907,7.775852266,9.819154184,7.672569528,5.951280586,8.681249112,2.438892125,4.880092801,6.495594563,3.104804293
3_cell_C10_fld3_4,11.60896735,5.779189731,11.7659817,9.79775991,9.380937325,10.77912003,11.61073371,11.96881891,4.995706775,9.750910659,7.632218583,10.57743265,8.034567127,13.45704517,4.500192608,9.710391312,11.36562576,7.626104529,12.30372286,5.330241444,7.763203938,8.16457073,6.698375938
